_link,_link_releases,_link_releases_parties,_link_main,scheme,id,description
0.releases.69.parties.7.details.classifications.0,0.releases.69,0.releases.69.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.70.parties.5.details.classifications.0,0.releases.70,0.releases.70.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.71.parties.1.details.classifications.0,0.releases.71,0.releases.71.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.71.parties.4.details.classifications.0,0.releases.71,0.releases.71.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.72.parties.5.details.classifications.0,0.releases.72,0.releases.72.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.73.parties.5.details.classifications.0,0.releases.73,0.releases.73.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.74.parties.5.details.classifications.0,0.releases.74,0.releases.74.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.75.parties.5.details.classifications.0,0.releases.75,0.releases.75.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.76.parties.5.details.classifications.0,0.releases.76,0.releases.76.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.79.parties.1.details.classifications.0,0.releases.79,0.releases.79.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.79.parties.8.details.classifications.0,0.releases.79,0.releases.79.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.79.parties.18.details.classifications.0,0.releases.79,0.releases.79.parties.18,0,WLB,WLB,Woman-Lead Business
0.releases.79.parties.19.details.classifications.0,0.releases.79,0.releases.79.parties.19,0,WLB,WLB,Woman-Lead Business
0.releases.79.parties.20.details.classifications.0,0.releases.79,0.releases.79.parties.20,0,WLB,WLB,Woman-Lead Business
0.releases.79.parties.23.details.classifications.0,0.releases.79,0.releases.79.parties.23,0,WLB,WLB,Woman-Lead Business
0.releases.80.parties.1.details.classifications.0,0.releases.80,0.releases.80.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.81.parties.1.details.classifications.0,0.releases.81,0.releases.81.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.82.parties.1.details.classifications.0,0.releases.82,0.releases.82.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.83.parties.1.details.classifications.0,0.releases.83,0.releases.83.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.83.parties.4.details.classifications.0,0.releases.83,0.releases.83.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.84.parties.3.details.classifications.0,0.releases.84,0.releases.84.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.85.parties.4.details.classifications.0,0.releases.85,0.releases.85.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.85.parties.5.details.classifications.0,0.releases.85,0.releases.85.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.85.parties.9.details.classifications.0,0.releases.85,0.releases.85.parties.9,0,WLB,WLB,Woman-Lead Business
0.releases.87.parties.3.details.classifications.0,0.releases.87,0.releases.87.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.87.parties.4.details.classifications.0,0.releases.87,0.releases.87.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.87.parties.6.details.classifications.0,0.releases.87,0.releases.87.parties.6,0,WLB,WLB,Woman-Lead Business
0.releases.88.parties.2.details.classifications.0,0.releases.88,0.releases.88.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.89.parties.2.details.classifications.0,0.releases.89,0.releases.89.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.90.parties.7.details.classifications.0,0.releases.90,0.releases.90.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.90.parties.9.details.classifications.0,0.releases.90,0.releases.90.parties.9,0,WLB,WLB,Woman-Lead Business
0.releases.91.parties.3.details.classifications.0,0.releases.91,0.releases.91.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.91.parties.8.details.classifications.0,0.releases.91,0.releases.91.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.95.parties.4.details.classifications.0,0.releases.95,0.releases.95.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.95.parties.5.details.classifications.0,0.releases.95,0.releases.95.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.95.parties.7.details.classifications.0,0.releases.95,0.releases.95.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.99.parties.3.details.classifications.0,0.releases.99,0.releases.99.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.99.parties.7.details.classifications.0,0.releases.99,0.releases.99.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.100.parties.1.details.classifications.0,0.releases.100,0.releases.100.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.100.parties.3.details.classifications.0,0.releases.100,0.releases.100.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.100.parties.6.details.classifications.0,0.releases.100,0.releases.100.parties.6,0,WLB,WLB,Woman-Lead Business
0.releases.100.parties.11.details.classifications.0,0.releases.100,0.releases.100.parties.11,0,WLB,WLB,Woman-Lead Business
0.releases.100.parties.13.details.classifications.0,0.releases.100,0.releases.100.parties.13,0,WLB,WLB,Woman-Lead Business
0.releases.101.parties.2.details.classifications.0,0.releases.101,0.releases.101.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.101.parties.5.details.classifications.0,0.releases.101,0.releases.101.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.101.parties.6.details.classifications.0,0.releases.101,0.releases.101.parties.6,0,WLB,WLB,Woman-Lead Business
0.releases.111.parties.1.details.classifications.0,0.releases.111,0.releases.111.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.111.parties.2.details.classifications.0,0.releases.111,0.releases.111.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.112.parties.1.details.classifications.0,0.releases.112,0.releases.112.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.112.parties.10.details.classifications.0,0.releases.112,0.releases.112.parties.10,0,WLB,WLB,Woman-Lead Business
0.releases.113.parties.6.details.classifications.0,0.releases.113,0.releases.113.parties.6,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.1.details.classifications.0,0.releases.114,0.releases.114.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.4.details.classifications.0,0.releases.114,0.releases.114.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.7.details.classifications.0,0.releases.114,0.releases.114.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.8.details.classifications.0,0.releases.114,0.releases.114.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.9.details.classifications.0,0.releases.114,0.releases.114.parties.9,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.11.details.classifications.0,0.releases.114,0.releases.114.parties.11,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.14.details.classifications.0,0.releases.114,0.releases.114.parties.14,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.15.details.classifications.0,0.releases.114,0.releases.114.parties.15,0,WLB,WLB,Woman-Lead Business
0.releases.114.parties.16.details.classifications.0,0.releases.114,0.releases.114.parties.16,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.1.details.classifications.0,0.releases.115,0.releases.115.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.4.details.classifications.0,0.releases.115,0.releases.115.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.7.details.classifications.0,0.releases.115,0.releases.115.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.8.details.classifications.0,0.releases.115,0.releases.115.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.9.details.classifications.0,0.releases.115,0.releases.115.parties.9,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.11.details.classifications.0,0.releases.115,0.releases.115.parties.11,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.14.details.classifications.0,0.releases.115,0.releases.115.parties.14,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.15.details.classifications.0,0.releases.115,0.releases.115.parties.15,0,WLB,WLB,Woman-Lead Business
0.releases.115.parties.16.details.classifications.0,0.releases.115,0.releases.115.parties.16,0,WLB,WLB,Woman-Lead Business
0.releases.116.parties.1.details.classifications.0,0.releases.116,0.releases.116.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.116.parties.2.details.classifications.0,0.releases.116,0.releases.116.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.116.parties.3.details.classifications.0,0.releases.116,0.releases.116.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.117.parties.1.details.classifications.0,0.releases.117,0.releases.117.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.117.parties.4.details.classifications.0,0.releases.117,0.releases.117.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.117.parties.5.details.classifications.0,0.releases.117,0.releases.117.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.121.parties.3.details.classifications.0,0.releases.121,0.releases.121.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.121.parties.8.details.classifications.0,0.releases.121,0.releases.121.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.122.parties.3.details.classifications.0,0.releases.122,0.releases.122.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.123.parties.2.details.classifications.0,0.releases.123,0.releases.123.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.123.parties.3.details.classifications.0,0.releases.123,0.releases.123.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.124.parties.2.details.classifications.0,0.releases.124,0.releases.124.parties.2,0,WLB,WLB,Woman-Lead Business
