_link,_link_releases,_link_main,id,name
0.releases.11.tender.tenderers.1,0.releases.11,0,RW-RRA-SUPLR-420d0651f50e0e4b69f58dbb8a9398649f1522fc3151739e82d17235a5ea7eac,NK CONSULTANCY GROUP. Ltd
0.releases.11.tender.tenderers.2,0.releases.11,0,RW-RRA-SUPLR-a2f69e85fb06ea690f029000d5af70e7149897e1a7bc32ccc6af090415803d1f,FAITH CONTRACTORS Ltd
0.releases.11.tender.tenderers.3,0.releases.11,0,RW-RRA-SUPLR-123211bb321375bb91583b2955284d8a6efb8e9e71f948bad1aa29f9f7354da8,Education Development Trust
0.releases.11.tender.tenderers.4,0.releases.11,0,RW-RRA-SUPLR-26ad73331e1e09eb1db2ce44b5cc5e0cfc9611925b1e3ab6c3a6665253705124,EDUCATION DEVELOPMENT CONSULT Ltd
0.releases.11.tender.tenderers.5,0.releases.11,0,RW-RRA-SUPLR-74c7da47f15fdeb2d91a0e99bbdff5168ec2deeb48a56da5b7eafdb91084e1de,Pazel Conroy Consulting Ltd
0.releases.12.tender.tenderers.0,0.releases.12,0,RW-RRA-SUPLR-86c17fed71f3304acaf4f9cb2e99c4cb4387f466eca6db6b0cd7922a1e268078,CERFODES UGANDA LIMITED
0.releases.12.tender.tenderers.1,0.releases.12,0,RW-RRA-SUPLR-420d0651f50e0e4b69f58dbb8a9398649f1522fc3151739e82d17235a5ea7eac,NK CONSULTANCY GROUP. Ltd
0.releases.12.tender.tenderers.2,0.releases.12,0,RW-RRA-SUPLR-a2f69e85fb06ea690f029000d5af70e7149897e1a7bc32ccc6af090415803d1f,FAITH CONTRACTORS Ltd
0.releases.12.tender.tenderers.3,0.releases.12,0,RW-RRA-SUPLR-123211bb321375bb91583b2955284d8a6efb8e9e71f948bad1aa29f9f7354da8,Education Development Trust
0.releases.12.tender.tenderers.4,0.releases.12,0,RW-RRA-SUPLR-26ad73331e1e09eb1db2ce44b5cc5e0cfc9611925b1e3ab6c3a6665253705124,EDUCATION DEVELOPMENT CONSULT Ltd
0.releases.12.tender.tenderers.5,0.releases.12,0,RW-RRA-SUPLR-74c7da47f15fdeb2d91a0e99bbdff5168ec2deeb48a56da5b7eafdb91084e1de,Pazel Conroy Consulting Ltd
0.releases.13.tender.tenderers.0,0.releases.13,0,RW-RRA-SUPLR-b047f1359ddc652148d5f0ca1e99015ad89ac402da219f5354579ea3d2ee1d84,BUCLINO COMPANY  LTD
0.releases.13.tender.tenderers.1,0.releases.13,0,RW-RRA-SUPLR-17f9272ba7a7e30115f7e08a074a71903538886f40b41d593bbef07a95a44c71,MUSANZE GRAPHIC COMPANY  LTD
0.releases.13.tender.tenderers.2,0.releases.13,0,RW-RRA-SUPLR-cc8075e02c8e2d354014b42058901927383f4ed61e1c74e9d4d64a62d1f10ad7,KAKANDE CERAMICS  LTD
0.releases.13.tender.tenderers.3,0.releases.13,0,RW-RRA-SUPLR-b997313b7dd307e016de51e37286b7682553abada2141f44d889855df65cc224,GRASSLAND PROPERTY CONSULTANCY Ltd
0.releases.13.tender.tenderers.4,0.releases.13,0,RW-RRA-SUPLR-e897b0e26cb0382ca8e9140cb3f5b990343ac7e0cf36267f0adbebfd040a6722,CORRECT SERVICE COMPANY Ltd
0.releases.13.tender.tenderers.5,0.releases.13,0,RW-RRA-SUPLR-fe0484ac7d512b6dc94bd11f53ce7b4a35962c9fcf26eedcb3552c4430695a06,GEMA ENGINEERING SERVICES COMPANY Ltd
0.releases.13.tender.tenderers.6,0.releases.13,0,RW-RRA-SUPLR-8108123050f2468fb264f0d469fba39ebcaeca03b050f2f6bdaa67645a90d833,NSHI 187 TACKLES Ltd
0.releases.13.tender.tenderers.7,0.releases.13,0,RW-RRA-SUPLR-7865ba7265605244e35a6052ae5af4c861af06461e868c0f7e07e2f51be22358,JM MUGAMBIRA SERVICES Ltd
0.releases.13.tender.tenderers.8,0.releases.13,0,RW-RRA-SUPLR-c8eea58df2adf0e53e74b09aa8921d6cf5e16aad3d540608a885ada0e7651517,MAX SERVICES TECHNOLOGY Ltd
0.releases.13.tender.tenderers.9,0.releases.13,0,RW-RRA-SUPLR-6d764c763f8f94fb95c6892b5b792e2f035c3d992dfab3ac420bcd14afcf0ae7,NKOTETA COMPANY Limited
0.releases.13.tender.tenderers.10,0.releases.13,0,RW-RRA-SUPLR-9a68778c279bbba425c04270eadc7cbf2ceafb9470679a5b0db4c7718d45406b,AZ PROPERTIES Ltd
0.releases.13.tender.tenderers.11,0.releases.13,0,RW-RRA-SUPLR-1deead8ec035b7a3bfd7657a6bcf08d77243eb3e747b2dfe50412cd676308ac0,APEX BUSINESS CENTER Ltd
0.releases.14.tender.tenderers.0,0.releases.14,0,RW-RRA-SUPLR-f99228bff6a8991783d05193962a88d8dc231db2a39d201db5b14e5819f83f27,COCOFPA  LTD
0.releases.14.tender.tenderers.1,0.releases.14,0,RW-RRA-SUPLR-1b98c467e4a887e11a23f80da725c3ae9b0c6bb933ebb49b2a3c37607f8b1a35,BIGIRA GENERAL SUPPLIES Ltd
0.releases.14.tender.tenderers.2,0.releases.14,0,RW-RRA-SUPLR-8f4022b6b7508df72d31a722af6b32146e0aee655b65ab16f3933f43d0b2d97a,WIDE MEGA TECH Ltd
0.releases.14.tender.tenderers.3,0.releases.14,0,RW-RRA-SUPLR-17eede32b17270243f73650307cedb8929cb6bd9a998e3bdb7cf7955295280a5,CAFEM COMPANY Ltd
